437, 2958, 1861, 88, 3823, 2507, 124, 4442, 2672, 3093, 4811, 3900, 1779, 331, 4640, 1274, 1775, 303
1542, 3165, 4911, 204, 3868, 4463, 2979, 4134, 1412, 1539, 3491, 4912, 3724, 2330, 4641, 4977, 1337, 421
4660, 4346, 1989, 1209, 4902, 2426, 4745, 1879, 4969, 2569, 2282, 3541, 4531, 4376, 1047, 1849, 3772, 3781
428, 3607, 4148, 2574, 1609, 4300, 1162, 4432, 3634, 3460, 4370, 1838, 3651, 2125, 4850, 4464, 4561, 2241
3267, 2691, 3580, 4935, 4083, 3670, 4551, 4272, 3685, 1781, 3733, 2942, 3300, 3002, 1331, 4311, 2004, 3212
1717, 4422, 1933, 1054, 4515, 2827, 3223, 3527, 4018, 2408, 4058, 4538, 4259, 3107, 2377, 3648, 1607, 3079
3357, 2324, 4038, 4679, 3737, 2514, 3916, 2923, 2510, 4196, 2315, 4744, 2246, 3448, 4146, 3736, 3662, 3144
2618, 4990, 2285, 1687, 4147, 3803, 4221, 2872, 3003, 3669, 2549, 3801, 4069, 3310, 3145, 2603, 4802, 3926
3329, 3615, 4820, 3619, 4228, 3817, 1700, 3693, 2214, 2578, 4248, 4723, 4666, 3836, 1782, 2889, 1901, 4309
3194, 1483, 2915, 2855, 2122, 1070, 3943, 4875, 2252, 3018, 2826, 3338, 2643, 3269, 2086, 3334, 2713, 1163
